mun_poly_fid,mun_poly_bdr_line_distm,mun_poly_bdr_line_rankn,mun_poly_bdr_line_fromx,mun_poly_bdr_line_fromy,mun_poly_bdr_line_nearx,mun_poly_bdr_line_neary,mun_poly_bdr_line_angle,mun_poly_codi,mun_poly_nome,mun_poly_lenm,mun_poly_arm2,mun_poly_cenx,mun_poly_ceny,mun_seat_codi,mun_seat_fid,mun_seat_nome,mun_seat_cap_poly_name,mun_seat_cap_poly_code,mun_seat_cap_poly_abbr,mun_seat_cap_poly_dnam,mun_seat_cap_poly_limt,mun_seat_cap_poly_type,mun_seat_pntx,mun_seat_pnty,mun_seat_cap_poly_fid,mun_seat_cap_poly_lenm,mun_seat_cap_poly_arm2,mun_seat_cap_poly_cenx,mun_seat_cap_poly_ceny,mun_seat_cap_don_death_year,mun_seat_cap_don_death_type,mun_seat_cap_don_letter_date,mun_seat_cap_foral_date,mun_seat_cap_otherdocs_date,mun_seat_cap_grant_date,mun_seat_cap_trnsfr_year,mun_seat_cap_crown_year,mun_seat_cap_settle_year,mun_seat_cap_pop1536_prtgs,mun_seat_cap_pop1546_prtgs,mun_seat_cap_pop1546_afrcns,mun_seat_cap_povs_1530_1549,mun_seat_cap_vilas_1530_1549,mun_seat_cap_time_auto,mun_seat_cap_treat,mun_treat,mun_poly_runvarm,mun_poly_runvarkm,mun_poly_runvarm_abs,mun_poly_runvarkm_abs,mun_poly_uf
1,38726.49028650943,1,639293.625,-2296625,637797.9033742977,-2335322.595102661,-92.21346825983417,3549409,São Joaquim,164138.8219285581,881463437.53125,625169.478118262,-2276694.021405811,3549409,181,São Joaquim,Espirito Santo,9,ES,Vasco Fernandes Coutinho,Rio Mucuri,Actual,640549.5625,-2288673,3,27.18245838341003,25.33976092439498,-44.3391355894169,-19.51391890359617,,,01/06/1534,07/10/1534,25/09/1534,01/06/1534,1560,1715,1535,60,1650,300,1,1,0180,1,1,38726.49028650943,38.72649028650942,38726.49028650943,38.72649028650942,35
2,25448.94042022831,1,681329.5,-2311577.75,680274.174131509,-2337004.799687756,-92.37664360196929,3516200,Franca,291456.0426535454,1817010623.554688,680935.1515101206,-2281989.8193637,3516200,182,Franca,Espirito Santo,9,ES,Vasco Fernandes Coutinho,Rio Mucuri,Actual,688027.6875,-2285763,3,27.18245838341003,25.33976092439498,-44.3391355894169,-19.51391890359617,,,01/06/1534,07/10/1534,25/09/1534,01/06/1534,1560,1715,1535,60,1650,300,1,1,0180,1,1,25448.94042022831,25.44894042022831,25448.94042022831,25.44894042022831,35
3,15296.66494768508,1,702230.6875,-2322606.25,701596.3598637853,-2337889.757024622,-92.37664360196933,3536307,Patrocinio do Sapucahy,177293.4751478191,764134148.625,701600.824621839,-2303669.230310814,3536307,185,Patrocinio do Sapucahy,Espirito Santo,9,ES,Vasco Fernandes Coutinho,Rio Mucuri,Actual,699983,-2297490.75,3,27.18245838341003,25.33976092439498,-44.3391355894169,-19.51391890359617,,,01/06/1534,07/10/1534,25/09/1534,01/06/1534,1560,1715,1535,60,1650,300,1,1,0180,1,1,15296.66494768508,15.29666494768508,15296.66494768508,15.29666494768508,35
4,5197.984135557005,1,588586.5,-2328302,588399.9404214206,-2333496.635174595,-92.05683056775771,3556800,Viradouro,92948.37213702212,441303108,590274.3781318024,-2314591.211023402,3556800,191,Viradouro,Espirito Santo,9,ES,Vasco Fernandes Coutinho,Rio Mucuri,Actual,593333.75,-2319408,3,27.18245838341003,25.33976092439498,-44.3391355894169,-19.51391890359617,,,01/06/1534,07/10/1534,25/09/1534,01/06/1534,1560,1715,1535,60,1650,300,1,1,0180,1,1,5197.984135557005,5.197984135557006,5197.984135557005,5.197984135557006,35
5,0,1,676824.9313500002,-2336861.642100001,676824.9313500002,-2336861.642100001,0,3505906,Batataes,151935.1835498878,857407729.015625,668512.3463904704,-2321593.713696561,3505906,187,Batataes,Espirito Santo,9,ES,Vasco Fernandes Coutinho,Rio Mucuri,Actual,667285.75,-2324207,3,27.18245838341003,25.33976092439498,-44.3391355894169,-19.51391890359617,,,01/06/1534,07/10/1534,25/09/1534,01/06/1534,1560,1715,1535,60,1650,300,1,1,0180,1,1,0,0,0,0,35
6,0,1,568968.1770500001,-2332824.0762,568968.1770500001,-2332824.0762,0,3506102,Bebedouro,127032.0494138072,685143748.8828125,570886.6775632857,-2326065.466686734,3506102,188,Bebedouro,Espirito Santo,9,ES,Vasco Fernandes Coutinho,Rio Mucuri,Actual,574091.6875,-2327232.75,3,27.18245838341003,25.33976092439498,-44.3391355894169,-19.51391890359617,,,01/06/1534,07/10/1534,25/09/1534,01/06/1534,1560,1715,1535,60,1650,300,1,1,0180,1,1,0,0,0,0,35
7,16236.25957782235,3,534741.3125,-2331138.5,550942.2069173108,-2332209.548625215,-3.782346532821379,3552601,Tabapuan,101582.0660935574,465234940.940769,519908.0237273041,-2325010.935346317,3552601,189,Tabapuan,Placebo 7,0G,PC7,,,Placebo,516608,-2326987,19,33.19285259356617,26.69082109128583,-53.28781441204929,-19.55750282631005,,,,,,,,,,,,,,,,,,,,,,35
8,0,1,553771.2281500008,-2332303.606,553771.2281500008,-2332303.606,0,3531506,Monte Azul,79463.47552390827,265979449.2421875,553228.7052128823,-2321927.267563053,3531506,190,Monte Azul,Espirito Santo,9,ES,Vasco Fernandes Coutinho,Rio Mucuri,Actual,557385.6875,-2321970.5,3,27.18245838341003,25.33976092439498,-44.3391355894169,-19.51391890359617,,,01/06/1534,07/10/1534,25/09/1534,01/06/1534,1560,1715,1535,60,1650,300,1,1,0180,1,1,0,0,0,0,35
9,0,1,689318.5215499997,-2337380.1768,689318.5215499997,-2337380.1768,0,3501004,Altinopolis,180341.4194770197,933477825.390625,687459.1367092652,-2339078.358753702,3501004,192,Altinopolis,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,688615.25,-2340057.25,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,0,0,0,0,35
10,0,1,609041.5636,-2334237.9564,609041.5636,-2334237.9564,0,3539509,Pitangueiras,114791.9987969284,485534453.375,596064.065422806,-2335014.078259139,3539509,193,Pitangueiras,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,600616.375,-2334844.75,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,0,0,0,0,35
11,0,1,642015.6465499997,-2335485.61735,642015.6465499997,-2335485.61735,0,3525102,Jardinopolis,118716.5988819933,507434841.40625,641816.0952921759,-2334380.464597452,3525102,194,Jardinopolis,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,648139.6875,-2337560,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,0,0,0,0,35
12,0,1,661627.4745999984,-2336250.239349999,661627.4745999984,-2336250.239349999,0,3507803,Brodowski,85309.74871593298,279908150.6015625,662203.7321238948,-2341544.445529993,3507803,195,Brodowski,Espirito Santo,9,ES,Vasco Fernandes Coutinho,Rio Mucuri,Actual,659192.125,-2335056,3,27.18245838341003,25.33976092439498,-44.3391355894169,-19.51391890359617,,,01/06/1534,07/10/1534,25/09/1534,01/06/1534,1560,1715,1535,60,1650,300,1,1,0180,1,1,0,0,0,0,35
13,12578.76588920927,3,539924.625,-2338279,550942.2069173108,-2332209.548625215,28.84983225399112,3511102,Catanduva,139036.8773839762,612893588.7977599,520840.893223871,-2344017.173919942,3511102,196,Catanduva,Placebo 8,0H,PC8,,,Placebo,522122.2188000008,-2346454.25,20,23.8844348436625,16.67930146796112,-52.93746804194612,-21.93693975496641,,,,,,,,,,,,,,,,,,,,,,35
14,0,1,711952.2917999998,-2338330.31275,711952.2917999998,-2338330.31275,0,3547908,Santo Antonio da Alegria,92605.96877423154,309251566.078125,706873.1064338062,-2348169.886036855,3547908,197,Santo Antonio da Alegria,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,711460.3125,-2347866.75,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,0,0,0,0,35
15,6454.565152019058,1,644880.9375,-2342055.75,645130.2302350492,-2335606.000823954,87.78653174016613,3543402,Ribeirão Preto,226656.6252646447,1179391867.796875,633668.909482715,-2368331.697636779,3543402,200,Ribeirão Preto,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,642630.9375,-2355132.75,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,-6454.565152019058,-6.454565152019057,6454.565152019058,6.454565152019057,35
16,14097.31126732123,3,542996.8125,-2343854.5,550942.2069173108,-2332209.548625215,55.69413382964348,3503703,Ariranha,59595.67643879526,134665999.5,542089.0242104116,-2352325.287555465,3503703,201,Ariranha,Placebo 8,0H,PC8,,,Placebo,541233.625,-2352629,20,23.8844348436625,16.67930146796112,-52.93746804194612,-21.93693975496641,,,,,,,,,,,,,,,,,,,,,,35
17,15233.16087491641,2,556568.5,-2347641.5,557089.9047293884,-2332417.265130909,88.03848150356569,3531308,Monte Alto,98782.1274205456,445343044.9765625,564830.5881397395,-2359299.527038374,3531308,204,Monte Alto,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,571105.0625,-2361795.5,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,-15233.16087491641,-15.23316087491641,15233.16087491641,15.23316087491641,35
18,10992.12785067516,1,693396,-2348551,693851.825534542,-2337568.327385028,87.62335639803074,3509403,Cajurú,175955.5144485102,1007190791.8125,695431.146365807,-2367869.40084513,3509403,202,Cajurú,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,694686.75,-2368147.75,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,-10992.12785067516,-10.99212785067516,10992.12785067516,10.99212785067516,35
19,59896.54906482902,3,510292.0313000008,-2376200,550942.2069173108,-2332209.548625215,47.2599601119626,3533502,Novo Horizonte,195768.7792593433,1500192729.945062,482258.0957202105,-2375330.207463289,3533502,208,Novo Horizonte,Placebo 8,0H,PC8,,,Placebo,495257.2188000008,-2382320.25,20,23.8844348436625,16.67930146796112,-52.93746804194612,-21.93693975496641,,,,,,,,,,,,,,,,,,,,,,35
20,16321.93214787729,1,661743.8125,-2352589.75,662393.4662713495,-2336280.751900261,87.71888192387935,3513108,Cravinhos,131836.7760729256,441510400.9765625,652896.5559547672,-2369595.243943492,3513108,207,Cravinhos,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,650301.4375,-2373564.5,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,-16321.93214787729,-16.32193214787729,16321.93214787729,16.32193214787729,35
